Timestamp,Open,High,Low,Close,Volume
2025-10-17 10:45:00,219.12,219.12,215.26,215.26,7.995
2025-10-17 11:00:00,216.52,216.53,213.23,213.23,3.301
2025-10-17 11:15:00,213.13,216.18,213.13,216.18,2.002
2025-10-17 11:30:00,213.01,213.01,213.0,213.0,5.156
2025-10-17 11:45:00,212.46,212.46,212.46,212.46,0.033
2025-10-17 12:00:00,215.6,218.48,215.6,216.53,4.202
2025-10-17 12:15:00,215.27,217.54,215.17,217.54,2.876
2025-10-17 12:30:00,217.78,220.7,217.78,220.7,38.218
2025-10-17 12:45:00,219.1,219.1,217.81,217.81,4.527
2025-10-17 13:00:00,217.35,219.06,215.17,215.17,4.043
2025-10-17 13:15:00,214.61,214.61,213.09,213.09,5.046
2025-10-17 13:30:00,213.01,214.55,212.46,214.55,0.278
2025-10-17 13:45:00,214.55,214.55,214.55,214.55,0.0
2025-10-17 14:00:00,215.6,217.81,215.6,217.81,2.617
2025-10-17 14:15:00,218.49,222.21,217.81,222.21,42.818
2025-10-17 14:30:00,222.95,227.49,222.95,227.49,5.347
2025-10-17 14:45:00,225.65,226.97,224.32,226.97,7.622
2025-10-17 15:00:00,225.64,232.13,225.25,229.83,11.687
2025-10-17 15:15:00,232.13,233.91,229.8,233.91,7.492
2025-10-17 15:30:00,232.38,232.38,228.01,228.01,9.689
2025-10-17 15:45:00,227.32,229.66,226.97,229.66,3.355
2025-10-17 16:00:00,228.31,228.31,224.01,225.64,6.481
2025-10-17 16:15:00,224.32,224.32,221.69,223.0,6.715
2025-10-17 16:30:00,223.0,223.0,223.0,223.0,0.0
2025-10-17 16:45:00,221.69,221.69,221.39,221.39,2.095
2025-10-17 17:00:00,221.36,221.58,219.55,219.55,1.393
2025-10-17 17:15:00,219.55,219.55,219.55,219.55,0.0
2025-10-17 17:30:00,219.37,219.37,218.44,219.35,1.366
2025-10-17 17:45:00,220.27,220.27,216.79,216.79,1.355
2025-10-17 18:00:00,216.53,216.53,216.53,216.53,1.121
2025-10-17 18:15:00,215.76,220.32,215.26,220.32,5.782
2025-10-17 18:30:00,220.31,220.33,217.82,220.2,35.824
2025-10-17 18:45:00,220.15,220.15,216.99,218.85,1.633
2025-10-17 19:00:00,218.85,219.1,218.02,218.02,2.954
2025-10-17 19:15:00,219.99,219.99,219.99,219.99,0.091
2025-10-17 19:30:00,217.81,217.81,217.81,217.81,1.114
2025-10-17 19:45:00,217.35,219.1,216.99,219.1,1.359
2025-10-17 20:00:00,219.97,223.0,218.99,218.99,9.855
2025-10-17 20:15:00,218.44,218.44,217.35,217.35,1.282
2025-10-17 20:30:00,217.35,217.39,215.55,217.39,35.817
2025-10-17 20:45:00,215.26,215.84,213.01,213.01,1.889
2025-10-17 21:00:00,212.71,212.71,212.71,212.71,0.077
2025-10-17 21:15:00,214.55,215.6,213.59,213.59,0.342
2025-10-17 21:30:00,213.59,213.59,213.59,213.59,0.0
2025-10-17 21:45:00,213.01,213.01,212.46,212.46,0.201
2025-10-17 22:00:00,212.36,212.36,212.36,212.36,0.288
2025-10-17 22:15:00,211.3,213.44,210.48,213.44,1.336
2025-10-17 22:30:00,214.55,215.57,214.55,215.57,0.661
2025-10-17 22:45:00,215.57,215.57,214.66,214.66,0.334
2025-10-17 23:00:00,215.59,216.53,215.51,216.53,1.868
2025-10-17 23:15:00,217.42,218.48,216.53,216.53,3.957
2025-10-17 23:30:00,215.55,216.53,215.17,216.53,2.422
2025-10-17 23:45:00,217.42,217.77,217.42,217.77,0.081
2025-10-18 00:00:00,217.78,218.48,217.78,218.48,1.22
2025-10-18 00:15:00,216.53,216.53,215.55,215.55,1.198
2025-10-18 00:30:00,215.26,215.26,215.17,215.17,1.218
2025-10-18 00:45:00,216.52,216.52,216.52,216.52,0.004
2025-10-18 01:00:00,216.53,222.21,216.53,222.2,9.203
2025-10-18 01:15:00,220.39,220.39,218.44,219.49,2.715
2025-10-18 01:30:00,217.81,217.81,217.81,217.81,1.114
2025-10-18 01:45:00,219.08,219.1,216.79,216.79,2.471
2025-10-18 02:00:00,216.53,217.78,216.53,217.78,1.174
2025-10-18 02:15:00,215.55,215.55,214.12,214.12,1.405
2025-10-18 02:30:00,214.12,214.12,214.12,214.12,0.0
2025-10-18 02:45:00,214.12,214.12,214.12,214.12,0.0
2025-10-18 03:00:00,214.12,214.12,214.12,214.12,0.0
2025-10-18 03:15:00,215.98,216.53,215.38,215.38,2.6
2025-10-18 03:30:00,217.42,219.1,217.42,219.1,2.513
2025-10-18 03:45:00,219.1,219.1,219.1,219.1,0.0
2025-10-18 04:00:00,219.99,221.69,219.99,220.39,13.51
2025-10-18 04:15:00,219.1,219.1,219.1,219.1,1.108
2025-10-18 04:30:00,220.39,223.28,220.39,223.28,3.585
2025-10-18 04:45:00,221.69,221.69,219.55,219.55,2.441
2025-10-18 05:00:00,219.1,222.21,218.99,222.21,3.517
2025-10-18 05:15:00,222.95,224.77,222.84,223.0,5.809
2025-10-18 05:30:00,224.32,226.27,224.32,226.27,2.405
2025-10-18 05:45:00,224.32,224.32,221.77,221.77,2.415
